"sovereign_iso3","sovereign","rcp","scenario","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff"
"GBR","United Kingdom","RCP45","Full Adaptation",2164820.9762475,2329881.64169413,76729787.3306411,66092383207.2077,1.24070520397289,0.843520621441032,11.2038821788499,76.3141081754909,0.503011750765281
"GBR","United Kingdom","RCP45","Imperfect Full Adaptation",2164820.9762475,2329881.64169413,63469476.2624445,18332680806.6582,1.14996074892929,0.629340706362529,-8.01418320335111,-51.0940578922961,0.288831835686778
"GBR","United Kingdom","RCP45","Imperfect Productivity Only",2164820.9762475,2329881.64169413,72720337.1543001,35898300528.7458,0.895301328460585,0.476185774003489,5.39301731758702,-4.23439834363059,0.135676903327738
"GBR","United Kingdom","RCP45","No Adaptation",2164820.9762475,2329881.64169413,68999198.4337706,37485589718.9032,0.755335050797472,0.340508870675751,0,0,0
"GBR","United Kingdom","RCP45","Productivity Only",2164820.9762475,2329881.64169413,79344486.3427221,45887255199.079,0.935188102010324,0.60485171653336,14.9933450587566,22.4130540380401,0.264342845857608
"GBR","United Kingdom","RCP45","Range Shift Only",2164820.9762475,2329881.64169413,62148079.2295304,46331292974.7494,0.952377399874711,0.452453836279254,-9.92927361441207,23.597609967399,0.111944965603502
"GBR","United Kingdom","RCP60","Full Adaptation",2164820.9762475,2296598.44213973,75299542.1651365,65021009008.6096,1.24896881553093,0.847437543201343,10.0242506877555,71.1957445092062,0.511207662683914
"GBR","United Kingdom","RCP60","Imperfect Full Adaptation",2164820.9762475,2296598.44213973,62523325.7553207,18190665672.0317,1.15916101435479,0.63513380073072,-8.64377300396658,-52.105256434437,0.298903920213291
"GBR","United Kingdom","RCP60","Imperfect Productivity Only",2164820.9762475,2296598.44213973,71962324.3574957,36211529645.1702,0.888923283575606,0.478555676245022,5.14806049974247,-4.65758880177874,0.142325795727593
"GBR","United Kingdom","RCP60","No Adaptation",2164820.9762475,2296598.44213973,68439041.1154298,37980505412.1033,0.735541494969728,0.336229880517429,0,0,0
"GBR","United Kingdom","RCP60","Productivity Only",2164820.9762475,2296598.44213973,78581855.8061479,45962819377.8229,0.924212463355189,0.594088410519733,14.8202174159792,21.0168713636335,0.257858530002304
"GBR","United Kingdom","RCP60","Range Shift Only",2164820.9762475,2296598.44213973,61616674.0107943,45730396603.681,0.955029807043631,0.453046311839637,-9.96853110950049,20.4049185430482,0.116816431322208
"GBR","United Kingdom","RCP85","Full Adaptation",2164820.9762475,2368169.42062108,77350631.7245298,66665097385.0716,1.32135859032464,0.841776110068793,5.70391122579203,65.3253722082281,0.545209176788124
"GBR","United Kingdom","RCP85","Imperfect Full Adaptation",2164820.9762475,2368169.42062108,64010719.1726856,18244648885.623,1.21023743911138,0.630756064645667,-12.5258161946861,-54.7543844359627,0.334189131364998
"GBR","United Kingdom","RCP85","Imperfect Productivity Only",2164820.9762475,2368169.42062108,74890375.6049068,36694893655.7928,0.778399760567611,0.405121622066423,2.34183532979297,-8.99890362803566,0.108554688785754
"GBR","United Kingdom","RCP85","No Adaptation",2164820.9762475,2368169.42062108,73176697.8416746,40323573142.2438,0.651740876739884,0.296566933280669,0,0,0
"GBR","United Kingdom","RCP85","Productivity Only",2164820.9762475,2368169.42062108,79259743.6884171,43262435063.1493,0.793890178115189,0.455054145683157,8.31281818688201,7.28819817266319,0.158487212402488
"GBR","United Kingdom","RCP85","Range Shift Only",2164820.9762475,2368169.42062108,62410398.4631456,46581257066.1594,0.991889205764471,0.455284552845528,-14.7127428485815,15.5186741557879,0.15871761956486
"GEO","Georgia","RCP26","Full Adaptation",16931.3445076354,16963.8100563879,447422.15185409,228190384.655756,1.23811098047285,0.847898357526085,12.832638572291,106.973224670561,0.498140285046575
"GEO","Georgia","RCP26","Imperfect Full Adaptation",16931.3445076354,16963.8100563879,441165.104666813,175118910.290215,1.15343250917188,0.638820315328659,11.2547123545431,58.8363401825145,0.289062242849149
"GEO","Georgia","RCP26","Imperfect Productivity Only",16931.3445076354,16963.8100563879,401064.560118193,109880174.612656,0.90395704671429,0.47065600210658,1.14200284551094,-0.336492699925164,0.12089792962707
"GEO","Georgia","RCP26","No Adaptation",16931.3445076354,16963.8100563879,396536.106498502,110251161.723439,0.778544020522817,0.34975807247951,0,0,0
